Time,ang_x_imu,pid_output_ankle,pid_output_hip,zmp_ref,zmp_imu,Xzmp_ft,capture_point,iter
10.77,179.1735076904,-0.0075044004,-0.0075044004,0.0000000000,0.00033901,-0.00004469,-0.0018403674,217
10.82,179.1576385498,0.0071974806,0.0071974806,0.0000000000,0.00014215,-0.00004203,-0.0016914728,218
10.87,179.1448516846,0.0037187322,0.0037187322,0.0000000000,0.00005916,-0.00004203,-0.0011234180,219
10.92,179.1525878906,0.0011831920,0.0011831920,0.0000000000,0.00003767,-0.00004203,-0.0015062691,220
10.97,179.1551055908,0.0167141841,0.0167141841,0.0000000000,-0.00018366,-0.00004203,-0.0016570226,221
11.02,179.1518859863,0.0099901996,0.0099901996,0.0000000000,-0.00024146,-0.00004203,-0.0026001868,222
11.07,179.1417846680,0.0187165353,0.0187165353,0.0000000000,-0.00039368,-0.00004463,-0.0033339740,223
11.12,179.1483917236,-0.0090359591,-0.0090359591,0.0000000000,-0.00012922,-0.00004231,-0.0004559716,224
11.17,179.1424102783,0.0116972897,0.0116972897,0.0000000000,-0.00022786,-0.00004231,-0.0026525277,225
11.22,179.1534881592,0.0041824409,0.0041824409,0.0000000000,-0.00019216,-0.00004355,-0.0017269350,226
11.27,179.1514587402,0.0107535654,0.0107535654,0.0000000000,-0.00025679,-0.00004355,-0.0017973461,227
11.32,179.1243286133,0.0250815743,0.0250815743,0.0000000000,-0.00049082,-0.00004355,-0.0025003618,228
11.37,179.1172180176,0.0069116904,0.0069116904,0.0000000000,-0.00040452,-0.00004355,-0.0015334620,229
11.42,179.1038360596,-0.0068507940,-0.0068507940,0.0000000000,-0.00016360,-0.00004355,-0.0004664042,230
11.47,179.1045379639,0.0289882321,0.0289882321,0.0000000000,-0.00047789,-0.00004648,-0.0027159811,231
11.52,179.0959167480,0.0282342393,0.0282342393,0.0000000000,-0.00067914,-0.00004648,-0.0027953475,232
11.57,179.0955810547,0.0261355856,0.0261355856,0.0000000000,-0.00078522,-0.00004648,-0.0028952818,233
11.62,179.0986633301,0.0286803511,0.0286803511,0.0000000000,-0.00088980,-0.00004648,-0.0025557674,234
11.67,179.0971832275,0.0329538381,0.0329538381,0.0000000000,-0.00101643,-0.00004648,-0.0019270799,235
11.72,179.0901336670,0.0057941874,0.0057941874,0.0000000000,-0.00074109,-0.00004416,-0.0023356185,236
11.78,179.0861206055,0.0296230123,0.0296230123,0.0000000000,-0.00087374,-0.00004416,-0.0030794474,237
11.83,179.0779876709,0.0386250703,0.0386250703,0.0000000000,-0.00107829,-0.00004796,-0.0040146802,238
11.88,179.0768280029,0.0207284352,0.0207284352,0.0000000000,-0.00097853,-0.00004796,-0.0023934319,239
11.93,179.0803070068,0.0323079430,0.0323079430,0.0000000000,-0.00106643,-0.00004796,-0.0027671248,240
